20240117090001,-25.98
20240117091001,-25.61
20240117092001,-25.42
20240117093001,-25.87
20240117094001,-26.27
20240117095001,-26.48
20240117100001,-26.58
20240117101001,-26.54
20240117102001,-26.61
20240117103001,-26.71
20240117104001,-26.72
20240117105001,-26.59
20240117110001,-23.77
20240117111001,-23.72
20240117112001,-23.79
20240117113001,-23.86
20240117114001,-23.97
20240117115001,-24.0
20240117120001,-24.02
20240117121001,-24.06
20240117122001,-24.06
20240117123001,-24.1
20240117124001,-24.09
20240117125001,-24.09
20240117130001,-24.11
20240117131001,-24.47
20240117132001,-24.48
20240117133001,-24.51
20240117134001,-24.59
20240117135001,-24.74
20240117140001,-24.84
20240117141001,-24.87
20240117142001,-24.97
20240117143001,-25.09
20240117144001,-25.19
20240117145001,-25.18
20240117150001,-25.31
20240117151001,-25.28
20240117152001,-25.57
20240117153001,-25.61
20240117154001,-25.52
20240117155001,-25.74
20240117160001,-25.77
20240117161001,-25.91
20240117162001,-25.95
20240117163001,-26.04
20240117164001,-26.13
20240117165001,-26.12
20240119090001,47.12
20240119091001,48.26
20240119092001,49.53
20240119093001,49.28
20240119094001,47.68
20240119095001,49.89
20240119100001,50.92
20240119101001,53.94
20240119102001,52.2
20240119103001,37.06
20240119104001,27.58
20240119105001,20.73
20240119110001,-23.77
20240119111001,-23.72
20240119112001,-23.79
20240119113001,-23.86
20240119114001,-23.97
20240119115001,-24.0
20240119120001,-24.02
20240119121001,-24.06
20240119122001,-24.06
20240119123001,-24.1
20240119124001,-24.09
20240119125001,-24.09
20240119130001,-24.11
20240119131001,-24.47
20240119132001,-24.48
20240119133001,-24.51
20240119134001,-24.59
20240119135001,-24.74
20240119140001,-24.84
20240119141001,-24.87
20240119142001,-24.97
20240119143001,-25.09
20240119144001,-25.19
20240119145001,-25.18
20240119150001,-25.31
20240119151001,-25.28
20240119152001,-25.57
20240119153001,-25.61
20240119154001,-25.52
20240119155001,-25.74
20240119160001,-25.77
20240119161001,-25.91
20240119162001,-25.95
20240119163001,-26.04
20240119164001,-26.13
20240119165001,-26.12
20240224090001,-26.71
20240224091001,-26.59
20240224092001,-26.37
20240224093001,-26.1
20240224094001,-26.03
20240224095001,-26.0
20240224100001,-25.96
20240224101001,-25.99
20240224102001,-25.92
20240224103001,-25.98
20240224104001,-26.21
20240224105001,-27.19
20240224110001,-23.77
20240224111001,-23.72
20240224112001,-23.79
20240224113001,-23.86
